scholar_id,url_picture,name,affiliation,email_domain,interests,citedby,Country Ranking,World Rank,Country,Institution
vI1NQcYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=vI1NQcYAAAAJ,Ming Dao,Massachusetts Institute of Technology,@mit.edu,[],24382,1,1,USA,Massachusetts Institute of Technology - MIT
RQ50vF4AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=RQ50vF4AAAAJ,Christopher Voigt,"Professor of Biological Engineering, Massachusetts Institute of Technology",@mit.edu,"['Synthetic Biology', 'Biotechnology', 'Genetic Circuit Design', 'Metabolic Engineering', 'Protein Engineering']",24238,1,1,USA,Massachusetts Institute of Technology - MIT
kssA7YwAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=kssA7YwAAAAJ,Leo Anthony Celi,Massachusetts Institute of Technology,@mit.edu,[],24116,1,1,USA,Massachusetts Institute of Technology - MIT
398l2V8AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=398l2V8AAAAJ,Alan D Grossman,Massachusetts Institute of Technology,@mit.edu,[],23975,1,1,USA,Massachusetts Institute of Technology - MIT
DbpMkKYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=DbpMkKYAAAAJ,Jiang Zhou,Central South University; Massachusetts Institute of Technology (MIT),@csu.edu.cn,"['Zn batteries', 'Lithium ion batteries', 'Sodium ion batteries']",23845,1,1,USA,Massachusetts Institute of Technology - MIT
Mn1-cq8AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=Mn1-cq8AAAAJ,Jurgen Michel,Massachusetts Institute of Technology,@mit.edu,"['Microphotonics', 'PV']",23628,1,1,USA,Massachusetts Institute of Technology - MIT
kKs8h0kAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=kKs8h0kAAAAJ,Richard Lindzen,"Professor Emeritus, Massachusetts Institute of Technology",,"['atmospheric physics', 'meteorology']",23585,1,1,USA,Massachusetts Institute of Technology - MIT
CNmqCWIAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=CNmqCWIAAAAJ,John Wise,"Professor of Microbiology, Massachusetts Institute of Technology",,"['Professor of Microbiology', 'Massachusetts Institute of Technology']",23293,1,1,USA,Massachusetts Institute of Technology - MIT
FHL7ncYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=FHL7ncYAAAAJ,T. Senthil,"Professor of Physics, Massachusetts Institute of Technology",@mit.edu,"['Quantum many body physics', 'Condensed Matter Physics', 'Quantum Field Theory']",23221,1,1,USA,Massachusetts Institute of Technology - MIT
UQLFRisAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=UQLFRisAAAAJ,David Pesetsky,"… . Ward Professor of Modern Languages & Linguistics, Massachusetts Institute of Technology",@mit.edu,"['Linguistics', 'Syntax', 'Semantics', 'Russian Linguistics', 'Language and Music']",22986,1,1,USA,Massachusetts Institute of Technology - MIT
BRIg53UAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=BRIg53UAAAAJ,Ron Weiss,"Professor of Biological Engineering, Massachusetts Institute of Technology",@mit.edu,['Synthetic biology'],22745,1,1,USA,Massachusetts Institute of Technology - MIT
4GpKQUIAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=4GpKQUIAAAAJ,Polina Golland,Massachusetts Institute of Technology,@mit.edu,[],22676,1,1,USA,Massachusetts Institute of Technology - MIT
ZJKM9FUAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=ZJKM9FUAAAAJ,Arlene M. Fiore,"… of Earth Atmospheric and Planetary Sciences, Massachusetts Institute of Technology",@mit.edu,"['atmospheric chemistry', 'air pollution', 'climate']",22377,1,1,USA,Massachusetts Institute of Technology - MIT
PBRVXxQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=PBRVXxQAAAAJ,Benjamin Bret Lane,"Doctoral Candidate, Massachusetts Institute of Technology",@mit.edu,"['optomechanics', 'macroscopic quantum mechanics', 'quantum optics', 'gravitational wave physics']",22255,1,1,USA,Massachusetts Institute of Technology - MIT
2cimQiQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=2cimQiQAAAAJ,Earle R. Williams,"Principal Research Scientist, Massachusetts Institute of Technology",@mit.edu,"['Physical meteorology', 'atmospheric electricity', 'cloud physics', 'lightning', 'radar meteorology']",22028,1,1,USA,Massachusetts Institute of Technology - MIT
j4NKNWQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=j4NKNWQAAAAJ,Vivishek Sudhir,Massachusetts Institute of Technology,@mit.edu,"['quantum optics', 'cavity optomechanics', 'precision measurements']",21990,1,1,USA,Massachusetts Institute of Technology - MIT
pMikAokAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=pMikAokAAAAJ,Duminda Ranasinghe,Massachusetts institute of technology,@mit.edu,['computational chemistry'],21943,1,1,USA,Massachusetts Institute of Technology - MIT
TqAysx4AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=TqAysx4AAAAJ,John Essigmann,Massachusetts Institute of Technology,@mit.edu,"['Toxicology', 'cancer research', 'biochemistry']",21924,1,1,USA,Massachusetts Institute of Technology - MIT
PzbmZ9oAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=PzbmZ9oAAAAJ,RP Binzel,Massachusetts Institute of Technology,@mit.edu,[],21681,1,1,USA,Massachusetts Institute of Technology - MIT
3VyGrdwAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=3VyGrdwAAAAJ,Karl Iagnemma,"Principal Research Scientist, Massachusetts Institute of Technology",@mit.edu,"['Robotics', 'Unmanned ground vehicles', 'Autonomous Vehicles', 'Planetary exploration rovers']",21477,1,1,USA,Massachusetts Institute of Technology - MIT
3qPiYJoAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=3qPiYJoAAAAJ,Devavrat Shah,Massachusetts Institute of Technology,@mit.edu,"['statistical inference', 'networks', 'algorithms', 'communications']",21256,1,1,USA,Massachusetts Institute of Technology - MIT
_NyqnKsAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=_NyqnKsAAAAJ,Lance Snead,Massachusetts Institute of Technology,@MIT.edu,"['Irradiation Materials Science', 'Nuclear Fuels', 'Nuclear Structural Matarials']",21232,1,1,USA,Massachusetts Institute of Technology - MIT
c7LLiswAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=c7LLiswAAAAJ,Peter So,Massachusetts Institute of Technology,@mit.edu,['Biophotonics'],21168,1,1,USA,Massachusetts Institute of Technology - MIT
